n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time;mq_swap;mq_comp;mq_time
2100;6297;2203950;4702200;1090860;1090854;1487200;63942;39862;257500;41493;24802;130500;31505;24141;139500
2100;6297;2203950;4753800;1087987;1087981;1480900;64077;39911;259200;38400;27942;137000;30892;24381;139200
2100;6297;2203950;4702900;1088344;1088336;1480900;64020;39892;257700;44403;24847;128400;36810;24489;143600
2100;6297;2203950;4702200;1125785;1125777;1521900;63939;39918;258300;47955;26413;125900;36124;24138;141100
2100;6297;2203950;7633100;1115794;1115790;3255600;63996;39933;551400;49125;27309;269600;37781;25305;298300
2200;6597;2418900;10969700;1205032;1205024;3486000;67434;42099;577400;48798;29014;281300;33866;24951;316600
2200;6597;2418900;10977400;1224084;1224080;3513500;67488;42132;576900;48144;26802;279700;32646;24787;314700
2200;6597;2418900;10962500;1179688;1179679;3386200;67686;42194;581800;43323;26351;281500;34867;24730;321900
2200;6597;2418900;10945400;1224425;1224414;3515800;67365;42062;573500;44730;28071;278100;34608;25272;310600
2200;6597;2418900;10956000;1241763;1241751;3569800;67389;42036;578600;43659;27080;280000;39225;25780;316600
2200;6597;2418900;10960500;1210383;1210378;3481200;67401;42088;585000;42729;26820;278500;36684;25716;319900
2200;6597;2418900;10949100;1207696;1207693;3468300;67584;42106;576400;50067;27629;284500;35217;25210;320700
2200;6597;2418900;10964900;1222545;1222536;3507500;67209;42096;582200;41442;27913;274500;32922;25619;313400
2200;6597;2418900;11092900;1199667;1199659;3451200;67479;42099;580000;43500;27431;287800;33004;26176;307800
2200;6597;2418900;10903400;1210279;1210269;3484900;67431;42143;573400;45420;26452;281800;36935;25354;316600
2300;6897;2643850;11952500;1300701;1300691;3738600;71181;44414;613900;42321;27544;294400;39280;27492;331100
2300;6897;2643850;11988900;1336834;1336830;3834100;70854;44306;609300;48927;30633;291300;39790;27554;330100
2300;6897;2643850;11973300;1316143;1316140;3793800;71109;44409;606000;42741;28727;287000;41777;27575;392800
2300;6897;2643850;12001600;1335079;1335069;3858200;71229;44394;611000;46950;29087;299900;36520;25964;331800
2300;6897;2643850;12053000;1276636;1276630;3733400;71214;44355;611800;50202;27889;320800;38740;26390;340900
2300;6897;2643850;12303100;1340173;1340165;3860800;71013;44320;608200;44367;27015;295600;35966;26120;333700
2300;6897;2643850;11995600;1304520;1304516;3771400;70968;44356;603700;52020;28286;293700;33906;26728;340400
2300;6897;2643850;11977400;1315934;1315925;3786300;71124;44366;603600;46641;28952;291300;35243;27315;322800
2300;6897;2643850;12009200;1298191;1298188;3743100;71151;44366;608900;47472;27835;306900;36738;26709;326000
2300;6897;2643850;11953900;1328292;1328282;3829200;71148;44355;605200;45606;30334;303600;38971;26273;332900
2400;7197;2878800;13036400;1454519;1454508;4205400;74553;46571;645200;62565;32154;313200;46271;29518;347000
2400;7197;2878800;13049200;1441273;1441266;4132800;74799;46678;634800;55566;33864;306500;39999;29460;343700
2400;7197;2878800;13065700;1427181;1427173;4106200;74517;46609;637100;58248;32163;307300;36642;27553;342300
2400;7197;2878800;13099400;1467107;1467102;4216400;74661;46638;637300;56526;31865;318200;38446;29100;337400
2400;7197;2878800;13036900;1428644;1428642;4105100;74778;46639;637400;51357;30335;306200;37082;27524;344800
2400;7197;2878800;12994900;1453998;1453991;4198600;74412;46511;639800;52629;30046;303400;36591;28650;344000
2400;7197;2878800;13011800;1441593;1441586;4140800;74679;46658;637400;51879;31774;307200;35884;28419;342700
2400;7197;2878800;13071600;1468709;1468700;4213000;74709;46666;639400;47148;29592;306400;38456;28578;341900
2400;7197;2878800;13084800;1467913;1467905;4231800;74607;46549;638100;48384;30599;313200;40868;29433;340500
2400;7197;2878800;13134800;1480701;1480695;4288000;74493;46529;637500;45162;29165;315000;39685;28544;343500
2500;7497;3123750;14180400;1563397;1563392;4526900;78327;48909;666600;58509;32677;326600;40250;28952;658000
2500;7497;3123750;14058600;1530681;1530676;4393200;78315;48921;670200;59373;33896;325200;43097;31204;360500
2500;7497;3123750;14030000;1552964;1552953;4467400;78174;48852;666400;54957;31290;325800;40570;28621;369300
2500;7497;3123750;14029700;1558485;1558478;4479800;78165;48849;661900;50829;31128;332900;43006;29496;361100
2500;7497;3123750;14038200;1592526;1592517;4588800;78198;48831;675500;55518;30650;321700;42477;29118;369200
2500;7497;3123750;14166000;1585813;1585808;4556400;77937;48806;667600;54081;31487;328000;52489;32747;374800
2500;7497;3123750;14186900;1548572;1548566;4454700;78174;48835;668500;52752;30008;324500;43409;29299;363100
2500;7497;3123750;14183200;1560852;1560845;4512600;78186;48854;667600;53505;30671;323100;41153;29054;362000
2500;7497;3123750;14126900;1567788;1567782;4497700;78090;48833;667500;54048;31819;323000;46923;30446;370600
2500;7497;3123750;14237700;1580715;1580709;4547800;78147;48823;668100;53166;31365;318900;43285;29175;360800
2600;7797;3378700;15359800;1691062;1691052;4867300;81738;51116;700600;54231;33012;334200;48609;33223;382200
2600;7797;3378700;15786300;1735117;1735111;5248900;81609;51093;709700;71532;36996;350600;48554;32323;370000
2600;7797;3378700;15469400;1684843;1684832;4845900;81747;51115;705600;50154;32771;333500;40604;31045;406600
2600;7797;3378700;15420700;1718715;1718708;5230600;81621;51051;693800;50109;33061;333200;37976;30705;372000
2600;7797;3378700;15321800;1714058;1714051;4909200;81504;50999;695000;53529;31727;363900;42868;30375;382900
2600;7797;3378700;15357000;1660737;1660732;4757400;81819;51104;694700;49455;31843;346400;42243;30109;396800
2600;7797;3378700;15374200;1697147;1697141;4946100;81681;51056;696200;50916;34162;332500;42497;30270;372300
2600;7797;3378700;15316300;1708186;1708181;4898600;81672;51076;699900;54477;32256;345600;42544;30208;416400
2600;7797;3378700;15365500;1678881;1678874;4810100;81735;51123;696300;53379;35867;335600;46596;32165;373700
2600;7797;3378700;15383800;1694958;1694953;5251200;81630;51085;694500;61389;32510;336200;46177;30496;379600
2700;8097;3643650;16568100;1838072;1838060;5309400;85476;53439;746900;55992;32511;366200;48856;33472;400500
2700;8097;3643650;16541900;1762997;1762988;5065200;85455;53388;754100;58557;34289;344900;45727;31871;394600
2700;8097;3643650;16509700;1824893;1824880;5254100;85353;53395;729700;52497;35022;346700;45025;32187;392300
2700;8097;3643650;16671300;1823656;1823649;8566300;85518;53435;1085000;60120;33236;498900;45167;31458;554500
2700;8097;3643650;16629400;1857712;1857704;5333900;85404;53428;734600;51561;34163;348800;44243;31869;405500
2700;8097;3643650;16581400;1852830;1852823;5376400;85296;53374;726200;62064;37076;360300;43988;32016;393600
2700;8097;3643650;16799700;1810749;1810744;5258200;85137;53278;724800;58875;33998;357300;46806;31631;386700
2700;8097;3643650;16521900;1855249;1855238;5371600;85203;53311;735300;57900;35970;349300;50302;33869;407100
2700;8097;3643650;16518000;1825034;1825027;5223800;85362;53386;727600;64902;36499;358900;45035;31272;385500
2700;8097;3643650;16928700;1847538;1847529;5290600;85386;53390;724400;58317;34851;353500;44731;31941;385700
2800;8397;3918600;17881000;1949038;1949033;5579200;89010;55709;752600;55014;38094;365100;46673;34844;396700
2800;8397;3918600;17789700;1952871;1952856;5592400;88923;55632;758600;57318;35933;358900;46524;33032;398100
2800;8397;3918600;17761000;1952385;1952377;5582700;88959;55710;762400;57954;35122;363600;45131;34376;396100
