n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_timemq_swap;mq_comp;mq_time
2200;2199;2418900;5018300;1205197;1207389;1636300;22502;42161;271100;15905;26848;132500;15741;26221;164200
2200;2199;2418900;5013500;1241098;1243288;1692100;22433;42059;272500;14294;26461;132000;16987;26203;154700
2200;2199;2418900;5014700;1220031;1222227;1664000;22504;42109;273600;14094;26487;130800;14848;25583;151200
2300;2299;2643850;5501600;1338026;1340319;1814800;23711;44389;286800;16247;27366;136900;14166;27979;152500
2300;2299;2643850;5503600;1323556;1325847;1795600;23681;44359;287900;15471;28280;137900;14566;26783;161500
2300;2299;2643850;5488800;1308573;1310863;1775000;23638;44325;285200;17530;29402;138700;16130;27559;156500
2300;2299;2643850;5478700;1309850;1312140;1786900;23715;44345;285000;16466;29668;137500;16856;27287;156400
2300;2299;2643850;5485100;1338833;1341121;1821900;23574;44197;287000;16524;27837;139200;15166;26026;158400
2300;2299;2643850;5476800;1318878;1321169;1790900;23695;44387;284500;16610;28254;138900;15968;26656;155700
2300;2299;2643850;5476800;1324606;1326902;1812800;23635;44287;284700;16864;29236;138000;17715;28499;155900
2300;2299;2643850;5498200;1318532;1320822;1788100;23709;44409;286600;13686;29514;133900;14521;27464;152400
2300;2299;2643850;5474300;1324799;1327093;1797200;23712;44371;285300;18947;29766;142200;17283;28358;155100
2300;2299;2643850;5480200;1281947;1284242;1740000;23704;44365;285500;14273;29326;135600;15103;26946;158600
2400;2399;2878800;5953800;1424147;1426534;1931000;24896;46650;299600;18228;29467;144300;16931;27386;175400
2400;2399;2878800;5948900;1436630;1439021;1946500;24813;46537;299100;19307;33226;143000;14738;28819;158700
2400;2399;2878800;5949700;1422697;1425093;1927100;24898;46635;298700;17593;29313;146600;14846;27938;161200
2400;2399;2878800;5984000;1426122;1428512;1945100;24927;46631;301400;18135;30749;148000;15164;27710;163000
2400;2399;2878800;5970000;1403860;1406253;1909800;24871;46614;302200;16169;29372;149100;16636;29510;161100
2400;2399;2878800;6008400;1450311;1452707;2042200;24838;46568;301500;15874;29073;142900;15717;28093;163600
2400;2399;2878800;5961100;1439858;1442252;1954700;24899;46593;299100;21302;34754;148200;19220;30692;167000
2400;2399;2878800;5957100;1469746;1472143;2005100;24795;46573;298000;15379;28741;145200;15623;27705;164700
2400;2399;2878800;5978100;1431380;1433771;1940800;24911;46597;300400;17206;30253;145500;16095;28018;162900
2400;2399;2878800;5969000;1446745;1449137;1961800;24854;46629;298500;19332;32341;148300;16163;28411;166100
2500;2499;3123750;6518900;1535013;1537503;2115400;26064;48840;331300;19614;32962;153300;16768;29798;171600
2500;2499;3123750;6508500;1602824;1605317;2171500;26011;48761;312500;21427;35346;156000;17489;29663;172300
2500;2499;3123750;6467900;1562240;1564728;2149200;26059;48887;313700;17726;33282;152000;15875;30413;169700
2500;2499;3123750;6468700;1581993;1584488;2141200;26032;48859;313900;17616;30665;150600;16940;28717;171500
2500;2499;3123750;6490200;1568464;1570952;2121900;26083;48869;312700;17700;30921;152600;16615;28660;174200
2500;2499;3123750;6484900;1549509;1551998;2095700;26040;48819;312600;16065;29406;148900;17839;29949;171200
2500;2499;3123750;6469400;1568355;1570848;2120600;26042;48822;313500;18420;33209;151100;16901;28548;174800
2500;2499;3123750;6481500;1537812;1540308;2081900;26057;48818;313400;17563;30728;149800;17212;29759;182900
2500;2499;3123750;6467200;1579090;1581579;2138100;26045;48803;316400;17206;31322;150900;16990;28999;172900
2500;2499;3123750;6468600;1539717;1542207;2087900;26020;48755;315000;14583;31297;144700;15975;30023;170200
2600;2599;3378700;7008700;1683696;1686287;2285900;27293;51195;328100;17769;34695;155500;17521;30467;185100
2600;2599;3378700;7016900;1694488;1697080;2292700;27233;51075;328700;18771;32471;157900;17262;31357;174500
2600;2599;3378700;7043900;1733375;1735965;2355600;27208;51052;329100;17357;33476;156700;18162;30298;179100
2600;2599;3378700;7015000;1682296;1684888;2283300;27237;51117;330200;19977;33703;160200;17017;30557;179000
2600;2599;3378700;6996900;1698163;1700756;2310400;27230;51112;331800;17637;33456;169100;18003;31408;183100
2600;2599;3378700;7024800;1670822;1673415;2274300;27275;51107;328600;18566;33245;158700;17007;31605;193300
2600;2599;3378700;7030700;1706888;1709481;2333800;27223;51086;327400;20297;36385;158400;17209;30672;176100
2600;2599;3378700;7055600;1698670;1701262;2299300;27239;51087;327100;21173;34970;165700;17388;30740;177200
2600;2599;3378700;7011400;1713580;1716171;2354300;27277;51161;327300;18073;31707;159700;17836;30970;177300
2600;2599;3378700;7004400;1674733;1677325;2278900;27234;51118;327900;19456;32899;158400;19048;31910;178600
2700;2699;3643650;7543900;1780282;1782976;2407500;28519;53423;345200;18899;36194;168800;16858;31238;185000
2700;2699;3643650;7551100;1824835;1827527;2465600;28434;53390;341800;19811;35700;164000;19287;33120;196900
