k;i;maxMatch;time
4;1;10;2400
4;1;12;2500
4;1;10;2300
4;1;9;2600
4;1;9;2600
4;1;10;2600
4;1;8;2300
4;1;9;2400
4;1;10;2900
4;1;9;2500
4;1;9;2200
4;1;9;3500
4;1;10;3800
4;1;11;2200
4;1;10;2200
4;1;11;2000
4;1;10;2500
4;1;8;2200
4;1;9;2200
4;1;9;2100
4;1;10;2600
4;1;9;2000
4;1;9;2600
4;1;8;2400
4;1;9;116200
4;1;9;2600
4;1;8;2300
4;1;10;2300
4;1;10;2300
4;1;9;2100
4;1;7;2200
4;1;10;2400
4;1;9;2400
4;1;11;2400
4;1;10;2400
4;1;8;2000
4;1;10;2000
4;1;11;1800
4;1;7;2300
4;1;9;2100
4;1;12;1900
4;1;10;2000
4;1;10;2000
4;1;9;1700
4;1;8;1800
4;1;9;1900
4;1;11;1800
4;1;9;1900
4;1;11;1800
4;1;8;1900
4;1;9;1800
4;1;7;2000
4;1;11;54400
4;1;7;2100
4;1;10;2000
4;1;8;1900
4;1;8;1900
4;1;9;1800
4;1;9;1800
4;1;9;1900
4;1;10;1800
4;1;9;1900
4;1;10;1800
4;1;11;1900
4;1;11;1900
4;1;10;1800
4;1;12;1700
4;1;11;1800
4;1;11;1900
4;1;8;3700
4;1;9;3600
4;1;8;3500
4;1;9;3700
4;1;9;3900
4;1;10;3800
4;1;9;3500
4;1;11;3700
4;1;11;3600
4;1;11;3900
4;1;9;2100
4;1;7;2800
4;1;10;5500
4;1;10;2300
4;1;11;2500
4;1;11;2200
4;1;9;2500
4;1;9;2300
4;1;10;2200
4;1;9;2500
4;1;10;2700
4;1;8;2400
4;1;8;2300
4;1;8;2300
4;1;9;2300
4;1;9;2500
4;1;9;2300
4;1;12;2200
4;1;10;3900
4;1;9;2200
4;1;11;2300
4;1;8;2300
4;1;7;2400
4;1;9;1900
4;1;9;2200
4;1;10;2600
4;1;10;2000
4;1;9;2000
4;1;10;2000
4;1;9;1900
4;1;11;56700
4;1;12;2200
4;1;8;2000
4;1;10;2100
4;1;8;2100
4;1;9;2000
4;1;9;1900
4;1;8;2100
4;1;10;2300
4;1;9;2400
4;1;9;2200
4;1;10;2600
4;1;7;2300
4;1;10;2200
4;1;11;2100
4;1;10;2400
4;1;10;2300
4;1;8;2500
4;1;10;2300
4;1;10;2300
4;1;9;2200
4;1;10;2200
4;1;9;2300
4;1;7;2500
4;1;9;2200
4;1;12;2000
4;1;8;2200
4;1;10;2500
4;1;10;55800
4;1;11;2400
4;1;8;2200
4;1;11;2500
4;1;9;2200
4;1;10;4000
4;1;10;3900
4;1;11;3900
4;1;9;2500
4;1;10;2400
4;1;10;2400
4;1;6;2400
4;1;10;2200
4;1;6;2400
4;1;9;2100
4;1;9;2400
4;1;11;2300
4;1;11;2200
4;1;9;2400
4;1;11;1800
4;1;8;1800
4;1;8;2200
4;1;12;2000
4;1;9;2100
4;1;9;2100
4;1;11;2000
4;1;7;2300
4;1;11;1900
4;1;9;2100
4;1;8;51000
4;1;11;2300
4;1;9;2100
4;1;8;2300
4;1;7;2200
4;1;8;2200
4;1;11;2200
4;1;8;2000
4;1;10;2300
4;1;9;2400
4;2;14;3900
4;2;9;5000
4;2;12;4000
4;2;13;5400
4;2;13;3500
4;2;13;3200
4;2;12;4000
4;2;12;3200
4;2;11;3700
4;2;13;3300
4;2;12;5400
4;2;13;4200
4;2;11;3600
4;2;14;2800
4;2;13;3100
4;2;12;3600
4;2;12;5300
4;2;11;3600
4;2;12;49600
4;2;14;2800
4;2;13;3300
4;2;13;3300
4;2;12;4700
4;2;14;4700
4;2;13;4700
4;2;14;2800
4;2;13;3300
4;2;13;3300
4;2;12;3100
4;2;13;3000
4;2;12;6200
4;2;12;3800
4;2;13;2800
4;2;11;3700
4;2;12;3500
4;2;13;2900
4;2;11;4900
4;2;12;4100
4;2;12;3000
4;2;12;3600
4;2;13;3100
4;2;12;5600
4;2;13;5100
4;2;11;4500
4;2;11;3300
4;2;11;3900
4;2;13;3600
4;2;13;56700
4;2;12;4100
